,q_num,user,rank,feature_rank,activity
0,0.0,571407.0,1.0,"[1, 3, 2]",comment
1,0.0,1025201.0,2821.0,"[1, 3, 2]",edit
2,0.0,1292401.0,2840.0,"[3, 2, 1]",edit
3,0.0,1381767.0,3952.0,"[3, 2, 1]",comment
0,1.0,157882.0,1111.0,"[1, 3, 2]",edit
1,1.0,1236051.0,3995.0,"[3, 2, 1]",comment
0,2.0,571407.0,1.0,"[1, 3, 2]",answer
1,2.0,1300669.0,4463.0,"[3, 2, 1]",comment
2,2.0,1293744.0,5359.0,"[1, 3, 2]",answer
3,2.0,343568.0,5377.0,"[3, 2, 1]",edit
4,2.0,904049.0,7351.0,"[1, 3, 2]",edit
5,2.0,1429832.0,18145.0,"[1, 3, 2]",answer
0,3.0,1257272.0,1218.0,"[3, 2, 1]",edit
0,4.0,1229208.0,965.0,"[3, 2, 1]",comment
1,4.0,1003886.0,1492.0,"[3, 2, 1]",answer
2,4.0,203925.0,1559.0,"[3, 2, 1]",answer
3,4.0,393657.0,4221.0,"[3, 2, 1]",comment
0,5.0,1049288.0,1883.0,"[2, 3, 1]",edit
1,5.0,485337.0,4973.0,"[3, 2, 1]",answer
0,6.0,643141.0,3351.0,"[3, 2, 1]",favorite
1,6.0,188090.0,3566.0,"[3, 2, 1]",edit
2,6.0,671619.0,3740.0,"[3, 1, 2]",comment
0,7.0,595223.0,9705.0,"[1, 3, 2]",answer
0,8.0,844882.0,1600.0,"[3, 1, 2]",edit
1,8.0,828625.0,1803.0,"[1, 3, 2]",comment
2,8.0,905906.0,2736.0,"[3, 2, 1]",comment
3,8.0,718003.0,6503.0,"[1, 3, 2]",comment
0,9.0,328725.0,4445.0,"[3, 2, 1]",comment
1,9.0,1381216.0,5151.0,"[1, 3, 2]",comment
0,10.0,24813.0,574.0,"[2, 3, 1]",edit
1,10.0,552759.0,2112.0,"[1, 3, 2]",answer
0,11.0,1459532.0,22.0,"[3, 2, 1]",edit
1,11.0,37213.0,2116.0,"[1, 3, 2]",comment
0,12.0,663580.0,143.0,"[3, 2, 1]",answer
